survey_id,step,step_idx,model_id,seed_song_id,genre,playlist_number,relevance,novelty,satisfaction,age,country,age_group,model_type
21,1,0,model3,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,2,2,3,27,GBR,20-35,Multimodal (Advanced)
21,2,1,model3,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,3,1,3,27,GBR,20-35,Multimodal (Advanced)
21,3,2,model3,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,2,1,1,27,GBR,20-35,Multimodal (Advanced)
21,4,3,model2,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,1,2,1,27,GBR,20-35,Multimodal (Simple)
21,5,4,model2,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,1,2,1,27,GBR,20-35,Multimodal (Simple)
21,6,5,model2,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,1,3,3,27,GBR,20-35,Multimodal (Simple)
21,7,6,model1,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,1,1,3,27,GBR,20-35,Unimodal (Audio Only)
21,8,7,model1,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,3,1,2,27,GBR,20-35,Unimodal (Audio Only)
21,9,8,model1,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,1,4,2,27,GBR,20-35,Unimodal (Audio Only)
22,1,0,model2,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,4,3,1,22,GBR,20-35,Multimodal (Simple)
22,2,1,model2,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,2,1,2,22,GBR,20-35,Multimodal (Simple)
22,3,2,model2,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,1,1,2,22,GBR,20-35,Multimodal (Simple)
22,4,3,model1,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,4,3,3,22,GBR,20-35,Unimodal (Audio Only)
22,5,4,model1,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,2,4,1,22,GBR,20-35,Unimodal (Audio Only)
22,6,5,model1,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,1,2,2,22,GBR,20-35,Unimodal (Audio Only)
22,7,6,model3,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,4,2,3,22,GBR,20-35,Multimodal (Advanced)
22,8,7,model3,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,3,1,3,22,GBR,20-35,Multimodal (Advanced)
22,9,8,model3,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,3,2,3,22,GBR,20-35,Multimodal (Advanced)
23,1,0,model1,0dqGfCMAGyDgpUAgLNOjWd,Metal/Hard Rock,1,2,4,2,20,GBR,20-35,Unimodal (Audio Only)
23,2,1,model1,2WfaOiMkCvy7F5fcp2zZ8L,Pop/Synthpop,2,1,1,1,20,GBR,20-35,Unimodal (Audio Only)
23,3,2,model1,4vUmTMuQqjdnvlZmAH61Qk,Pop/R&B,3,1,5,4,20,GBR,20-35,Unimodal (Audio Only)
